,ngram
0,가
1,가 되
2,가 되 어
3,가 아니
4,가 아니 가
5,가 아니 니다
6,가
7,가 가장
8,가 가장 많이
9,가 가장 어렵
10,가 그
11,가 그 동안
12,가 그리
13,가 그리 밝
14,가 극대
15,가 극대 화
16,가 꺾이
17,가 나
18,가 나오
19,가 넘
20,가 넘 습니다
21,가 높
22,가 늘
23,가 늘 고
24,가 단절
25,가 돋아나
26,가 들
27,가 많
28,가 많 은
29,가 맞
30,가 맞 지
31,가 바늘
32,가 바늘 에
33,가 새
34,가 새 어
35,가 생기
36,가 생기 었
37,가 성행
38,가 성행 하
39,가 속하
40,가 속하 아
41,가 쉽
42,가 쉽 게
43,가 시급
44,가 시급 하
45,가 없
46,가 없 다
47,가 없 잖아
48,가 일어나
49,가 일정
50,가 일정 하
51,가 잇따르
52,가 있 어
53,가 적
54,가 적 지
55,가 죽
56,가 죽 어
57,가 짧
58,가 차단
59,가 차단 되
60,가 특허
61,가 특허 와
62,가 풀리
63,가 하
64,가 하 라는
65,가 횡행
66,가 횡행 하
67,가
68,가 
69,가  데
70,가 는
71,가 는 것
72,가 
73,가  수
74,가 았
75,가 았 다
76,가 았 다가
77,가 지
78,가 고
79,가 고 있
80,가까이
81,가까이 초과
82,가까이 초과 하
83,가깝
84,가능
85,가능 성
86,가능 성 이
87,가능 성 의
88,가능
89,가능 성
90,가능 성 은
91,가득
92,가득 차
93,가로막히
94,가르치
95,가르치 는
96,가르치 는 책
97,가르치 려면
98,가르치 려면 공부
99,가사
100,가사 노동
101,가사 노동 에
102,가스
103,가스 가
104,가스 가 새
105,가슴 을
106,가슴 을 치밀
107,가장 고독
108,가장 고독 하
109,가장 많이
110,가장 많이 발생
111,가장 어렵
112,가장 어렵 
113,가장 위협
114,가장 위협 하
115,가장 크
116,가장 크 
117,가장 하
118,가장 하 
119,가족 이
120,가족 이 있
121,가족 하고
122,가족 하고 함께
123,가증
124,가증 스럽
125,가지
126,가지 가
127,가지 가 넘
128,가지 단점
129,가지 단점 이
130,가지 문제
131,가지  재주
132,가지 어다
133,가지 어다 놓
134,가책
135,가책 이
136,가책 이 나
137,가출
138,가출 하
139,가파르
140,가파르 고
141,가하
142,각종
143,각종 범죄
144,각종 범죄 를
145,간
146,간 상속
147,간신히
148,간신히 매달리
149,간신히 매달리 어
150,간주
151,간주 하
152,간첩
153,간첩 등
154,간첩 등 불순
155,갈등
156,갈수록
157,갈수록 모자라
158,갈피
159,갈피 를
160,갈피 를 못
161,감
162,감 이
163,감 이 없
164,감각
165,감각 적
166,감각 적 의지
167,감내
168,감내 하
169,감내 하 지
170,감독
171,감독 을
172,감독 을 게을리
173,감독 의
174,감독 의 영화
175,값 으로
176,값 으로 팔리
177,강도
178,강도 높
179,강도 높 게
180,강력
181,강력 하
182,강력 하 
183,강물
184,강물 위
185,강물 위 에
186,강박
187,강박 에
188,강박 에 시달리
189,강요
190,강요 하
191,강의
192,강의 하
193,강의 하 다
194,갖
195,갖 지
196,갖 지 못하
197,갖가지
198,갖가지 사회
199,갖가지 사회 적
200,같
201,같 다
202,같 은
203,같 은 인상
204,같 은 입시
205,같이
206,같이 붓
207,같이 붓 을
208,같이 비판
209,같이 비판 하
210,같이
211,같이 허둥대
212,같이 허둥대 며
213,개방
214,개방 정책
215,개방 정책 이
216,개입
217,개조
218,개조 과제
219,개혁
220,개혁 을
221,개혁 을 하
222,객관
223,객관 적
224,객관 적 실상
225,거
226,거 같
227,거 이
228,거 이 다
229,거
230,거나
231,거나 가족
232,거나 가족 이
233,거나 인터뷰
234,거나 인터뷰 를
235,거나 포기
236,거나 포기 하
237,거느리
238,거느리 
239,거느리  일직선
240,거룩
241,거룩 하
242,거룩 하 
243,거리
244,거리 를
245,거리 를 유지
246,거부
247,거부 하
248,거부 하 
249,거세
250,거세 공포
251,거세 공포 로부터
252,거의 거치
253,거의 거치 지
254,거의 반영
255,거의 반영 하
256,거짓
257,거짓말
258,거치
259,거치 지
260,거치 지 않
261,걱정
262,걱정 되
263,건
264,건 이상
265,건 이상 교통
266,건드리
267,건드리 지
268,건드리 지 도
269,건물
270,건물 형식
271,건물 형식 을
272,건배
273,건수
274,건수 가
275,건수 가 많
276,건축물
277,건축물 을
278,건축물 을 설계
279,걷
280,걷 는
281,걷 는 것
282,걷 어
283,걷 어 내
284,걸리
285,걸림돌
286,검사
287,검사 등
288,검사 등 으로
289,검사 로
290,검사 로 확인
291,것 같 다
292,것 같 은
293,것 과
294,것 과 마찬가지
295,것 
296,것  바람직
297,것  절대
298,것 도
299,것 도 그
300,것 도 믿
301,것 도 아니
302,것 때문
303,것 때문 에
304,것 으로 풀이
305,것 은
306,것 은 아니
307,것 을
308,것 을 깨닫
309,것 을 돈
310,것 을 요구
311,것 이
312,것 이 국기
313,것 이 얼마나
314,것 이 없
315,것 이 힘들
316,것 이 라고
317,것 이 
318,것 이 니다
319,것 처럼
320,것 처럼 노려보
321,게
322,게 미치
323,게 미치 었
324,게 갇히
325,게 갇히 어
326,게 결심
327,게 결심 을
328,게 경고
329,게 경고 하
330,게 그리
331,게 그리 니
332,게 깎
333,게 깎 았
334,게 내다보이
335,게 느끼
336,게 느끼 어
337,게 다르
338,게 다르 지
339,게 들리
340,게 만
341,게 만 보이
342,게 만들
343,게 무섭
344,게 무섭 
345,게 버티
346,게 버티 
347,게 부족
348,게 부족 하
349,게 승진
350,게 승진 하
351,게 쓰
352,게 쓰 는
353,게 여기
354,게 위협
355,게 위협 받
356,게 의식
357,게 의식 하
358,게 이기
359,게 이기 적
360,게 찢어지
361,게 하
362,게 하 여
363,게 하 
364,게 하 
365,게양
366,게양 률
367,게양 률 을
368,게을리
369,게을리 하
370,게을리 하 시
371,겠 네요
372,겠 느냐고
373,겠 느냐고 못
374,겠 다고
375,겠 다고 생각
376,겠 다고 팔
377,겠 다는 생각
378,겠 지요
379,겨우
380,겪
381,겪 는
382,겪 는 경우
383,결국
384,결국 죽
385,결국 죽 게
386,결단
387,결단 을
388,결단 을 두
389,결론
390,결심
391,결심 을
392,결심 을 뒤흔들
393,결심 을 하
394,결여
395,결여 되
396,결여 의
397,결여 의 표상
398,결정 을
399,결정 을 받
400,결함
401,결함 이
402,결함 이 있
403,결혼
404,결혼 도
405,결혼 도 세상
406,결혼 을
407,결혼 을 꿈꾸
408,경각심
409,경각심 이
